氢 (H₂)|最轻的气体，可燃的清洁能源
三硫化二锑(Sb₂S₃)|辉锑矿，黑灰色固体，阻燃剂和颜料
二硫化硒(SeS₂)|橙色固体，用于去屑洗发水
二硫化碲(TeS₂)|不稳定化合物
氟化锂(LiF)|白色固体，低溶解度，用于陶瓷和光谱
氟化钠(NaF)|白色固体，饮用水氟化剂，杀虫剂
氟化钾(KF)|白色固体，易潮解，用于有机氟化
氟化铍(BeF₂)|玻璃状固体，剧毒，与SiO₂结构相似
氟化镁(MgF₂)|白色固体，低折射率，用于光学镀膜
氟化钙(CaF₂)|萤石，无色晶体，主要氟来源，用于冶金和光学
氟化锶(SrF₂)|白色固体，光学材料
氟化钡(BaF₂)|无色晶体，闪烁体材料
氟化铝(AlF₃)|白色固体，电解铝助熔剂
氟化镓(GaF₃)|白色固体，催化剂前驱体
氟化铟(InF₃)|白色固体，光学镀膜
氟化锡(SnF₂)|白色固体，防龋齿牙膏添加剂
氟化铅(II)(PbF₂)|无色晶体，光学材料
氟化铜(II)(CuF₂)|白色固体（无水），氟化剂
氟化锌(ZnF₂)|白色固体，陶瓷釉料
氟化银(AgF)|黄色固体，易潮解，有机合成氟化剂
三氟化金(AuF₃)|橙色固体，强氟化剂
氟化钛(IV)(TiF₄)|无色吸湿性固体，强氟化剂
四氟化锆(ZrF₄)|白色固体，氟锆酸盐玻璃主要成分
氟化铪(HfF₄)|白色固体，光学镀膜
五氟化铌(NbF₅)|无色单斜晶体，强路易斯酸和氟化剂
五氟化钽(TaF₅)|白色固体，强路易斯酸
六氟化钨(WF₆)|无色气体，半导体工业中化学气相沉积钨
六氟化铀(UF₆)|白色固体/气体，铀浓缩关键化合物
氟化硼(BF₃)|无色刺激性气体，强路易斯酸催化剂
四氟化硅(SiF₄)|无色窒息性气体，制备氟硅酸
氟化磷(III)(PF₃)|无色剧毒气体，配体
氟化磷(V)(PF₅)|无色气体，强路易斯酸
三氟化氮(NF₃)|温室气体，半导体蚀刻和清洗剂
三氟化氯(ClF₃)|无色气体，极强的氧化剂和氟化剂，与水剧烈反应
三氟化溴(BrF₃)|黄色液体，强氟化剂
五氟化碘(IF₅)|无色液体，氟化剂
七氟化碘(IF₇)|无色气体，氟化剂
四氟化氙(XeF₄)|无色晶体，首个发现的稀有气体化合物之一
六氟化氙(XeF₆)|无色晶体，强氟化剂
氯化锂(LiCl)|白色固体，吸湿性强，用于干燥剂和助焊剂
氯化钠(NaCl)|食盐，白色晶体，最重要的工业盐和调味品
氯化钾(KCl)|白色固体，钾肥，低钠盐替代品
氯化铍(BeCl₂)|白色固体，剧毒，路易斯酸催化剂
氯化镁(MgCl₂)|白色固体，提取镁金属，豆腐凝固剂
氯化钙(CaCl₂)|白色固体，高效干燥剂和融雪剂
氯化锶(SrCl₂)|白色固体，红色烟火着色剂
氯化钡(BaCl₂)|白色固体，剧毒，实验室检测硫酸根
氯化铝(AlCl₃)|白色或黄色固体，重要的傅-克反应催化剂
氯化镓(GaCl₃)|白色固体，路易斯酸催化剂
氯化铟(InCl₃)|白色固体，催化剂前驱体
氯化锡(II)(SnCl₂)|白色固体，强还原剂，电镀锡
氯化锡(IV)(SnCl₄)|无色发烟液体，有机合成催化剂
氯化铅(II)(PbCl₂)|白色固体，微溶于水
氯化铜(I)(CuCl)|白色固体，不溶于水，催化剂
氯化铜(II)(CuCl₂)|黄棕色固体（无水），绿色溶液（水合）
氯化锌(ZnCl₂)|白色固体，强吸湿性，焊药和木材防腐剂
氯化镉(CdCl₂)|白色固体，电镀和颜料
氯化汞(I)(Hg₂Cl₂)|甘汞，白色固体，曾用作电极和药物
氯化汞(II)(HgCl₂)|升汞，白色剧毒固体，消毒剂和催化剂
氯化银(AgCl)|白色固体，见光变黑，用于摄影和电极
氯化金(III)(AuCl₃)|红黄色固体，催化剂
氯化钛(IV)(TiCl₄)|无色发烟液体，齐格勒-纳塔催化剂核心，制钛白粉
四氯化锆(ZrCl₄)|白色固体，有机锆前驱体，催化剂
四氯化铪(HfCl₄)|白色固体
五氯化铌(NbCl₅)|黄色固体，路易斯酸催化剂
五氯化钽(TaCl₅)|白色或淡黄色固体，路易斯酸催化剂
氯化铬(III)(CrCl₃)|紫色固体（无水），鞣革和催化剂
氯化钼(V)(MoCl₅)|黑色固体，催化剂
六氯化钨(WCl₆)|蓝黑色固体，化学气相沉积钨前驱体
四氯化铀(UCl₄)|绿色固体，核燃料循环研究
氯化硼(III)(BCl₃)|无色发烟液体，强路易斯酸
四氯化硅(SiCl₄)|无色发烟液体，制高纯硅和硅酸酯
三氯化磷(PCl₃)|无色发烟液体，制农药和有机磷化合物
五氯化磷(PCl₅)|淡黄色固体，氯化剂
三氯化氮(NCl₃)|黄色油状液体，极不稳定易爆
二氯化硫(SCl₂)|暗红色液体，不稳定
二氯化二硫(S₂Cl₂)|琥珀色液体，橡胶硫化剂
溴化锂(LiBr)|白色固体，强吸湿性，用于吸收式制冷
溴化钠(NaBr)|白色固体，镇静剂和摄影试剂
溴化钾(KBr)|白色固体，红外光谱窗口材料，镇静剂
溴化镁(MgBr₂)|白色固体
溴化钙(CaBr₂)|白色固体，钻井液添加剂
溴化铝(AlBr₃)|白色或淡黄色固体，路易斯酸催化剂
溴化镓(GaBr₃)|无色晶体
溴化铟(InBr₃)|黄色固体
溴化锡(II)(SnBr₂)|黄色固体
溴化铅(II)(PbBr₂)|白色固体
溴化铜(II)(CuBr₂)|黑色固体
溴化锌(ZnBr₂)|白色固体，钻井液和摄影
溴化银(AgBr)|淡黄色固体，摄影感光材料核心
溴化金(III)(AuBr₃)|深棕色固体
三溴化硼(BBr₃)|无色发烟液体，半导体掺杂和强路易斯酸
三溴化磷(PBr₃)|无色发烟液体，溴代试剂
五溴化磷(PBr₅)|黄色固体，不稳定
三溴化氮(NBr₃)|爆炸性固体
溴化碘(IBr)|暗灰色固体，溴化剂
碘化锂(LiI)|白色固体，吸湿，用于特种电池和医药
碘化钠(NaI)|白色固体，甲状腺疾病治疗和闪烁体
碘化钾(KI)|白色固体，预防放射性碘摄取，营养补充剂
碘化镁(MgI₂)|白色固体
碘化钙(CaI₂)|黄色固体
碘化铝(AlI₃)|棕色固体，强路易斯酸
碘化镓(GaI₃)|浅黄色固体
碘化铟(InI₃)|黄色固体
碘化锡(II)(SnI₂)|红色固体
碘化铅(II)(PbI₂)|金黄色固体，用于钙钛矿太阳能电池
碘化铜(I)(CuI)|白色固体，不溶于水，催化剂和人工降雨
碘化锌(ZnI₂)|白色固体，医用消毒剂和放射造影剂
碘化镉(CdI₂)|白色固体，具有层状结构
碘化汞(II)(HgI₂)|红色(α型)或黄色(β型)固体，红外探测材料
碘化银(AgI)|黄色固体，人工降雨晶核，感光材料
碘化金(I)(AuI)|黄色固体，不稳定
三碘化硼(BI₃)|无色晶体，强路易斯酸
四碘化硅(SiI₄)|白色晶体，遇水分解
三碘化磷(PI₃)|暗红色固体，碘代试剂
五碘化磷(PI₅)|通常以P+I₂形式存在
三碘化氮(NI₃)·NH₃|黑色固体，干燥时极轻微触碰即爆炸
一氯化碘(ICl)|红棕色液体/固体，卤化剂
次氯酸(HClO)|弱酸，强氧化性，漂白和消毒作用
亚氯酸(HClO₂)|中强酸，不稳定
氯酸(HClO₃)|强酸，强氧化剂
高氯酸(HClO₄)|最强无机酸，强氧化剂，易爆
次溴酸(HBrO)|弱酸，氧化性比次氯酸弱
溴酸(HBrO₃)|强酸，强氧化剂
高溴酸(HBrO₄)|强酸，强氧化剂
次碘酸(HIO)|弱酸，极不稳定
碘酸(HIO₃)|中强酸，稳定氧化剂
高碘酸(HIO₄/H₅IO₆)|中强酸，特殊氧化剂，断碳碳键
亚硝酸(HNO₂)|弱酸，不稳定，重氮化试剂
硝酸(HNO₃)|强酸，三大强酸之一，强氧化剂和硝化剂
磷酸(H₃PO₄)|中强酸，无氧化性，用于肥料和食品添加剂
亚磷酸(H₃PO₃)|中强酸，强还原剂
次磷酸(H₃PO₂)|中强酸，强还原剂
焦磷酸(H₄P₂O₇)|络合剂
砷酸(H₃AsO₄)|中强酸，有毒
亚砷酸(H₃AsO₃)|弱酸，剧毒
硫酸(H₂SO₄)|强酸，三大强酸之一，脱水剂和氧化剂
亚硫酸(H₂SO₃)|中强酸，不稳定，还原性和漂白性
焦硫酸(H₂S₂O₇)|强氧化剂和磺化剂
过一硫酸(H₂SO₅)|过氧酸，强氧化剂
过二硫酸(H₂S₂O₈)|过氧酸，强氧化剂
硒酸(H₂SeO₄)|强酸，类似硫酸，氧化性更强
亚硒酸(H₂SeO₃)|中强酸，氧化剂
碲酸(H₆TeO₆)|弱酸，氧化剂
碳酸(H₂CO₃)|弱酸，不稳定，存在于二氧化碳水溶液
硅酸(H₂SiO₃)|弱酸，形成胶体或沉淀
硼酸(H₃BO₃)|弱酸，防腐消毒剂，玻璃工业
铬酸(H₂CrO₄)|中强酸，强氧化剂，转化为重铬酸盐
高锰酸(HMnO₄)|强酸，极强氧化剂，不稳定
钼酸(H₂MoO₄)|弱酸，形成杂多酸
钨酸(H₂WO₄)|弱酸，难溶于水
氢氰酸(HCN)|极弱酸，剧毒，用于电镀和有机合成
氢叠氮酸(HN₃)|弱酸，不稳定易爆
硫酸锂(Li₂SO₄)|白色固体，用于躁郁症治疗和特种玻璃
硫酸钠(Na₂SO₄)|芒硝，白色固体，玻璃工业和造纸填充剂
硫酸钾(K₂SO₄)|白色固体，无氯钾肥
硫酸铍(BeSO₄)|白色固体，剧毒
硫酸镁(MgSO₄·7H₂O)|泻盐，白色晶体，医药和农业镁肥
硫酸钙(CaSO₄·2H₂O)|石膏，白色固体，建筑材料
硫酸钙(CaSO₄·½H₂O)|熟石膏，白色粉末，模具和固定材料
硫酸锶(SrSO₄)|天青石，白色固体，红色烟火着色剂
硫酸钡(BaSO₄)|重晶石，白色固体，钡餐和白色颜料
硫酸铝(Al₂(SO₄)₃)|白色固体，净水絮凝剂和造纸施胶剂
硫酸镓(Ga₂(SO₄)₃)|白色固体
硫酸铟(In₂(SO₄)₃)|白色固体
硫酸锡(II)(SnSO₄)|白色固体，电镀锡
硫酸锡(IV)(Sn(SO₄)₂)|白色固体，不稳定
硫酸铅(II)(PbSO₄)|白色固体，难溶于水，铅酸电池放电产物
硫酸铜(II)(CuSO₄·5H₂O)|胆矾，蓝色晶体，杀菌剂和电镀液
硫酸锌(ZnSO₄·7H₂O)|皓矾，白色晶体，补锌剂和木材防腐剂
硫酸镉(CdSO₄)|白色固体，有毒，标准电池组分
硫酸汞(II)(HgSO₄)|白色固体，剧毒，催化剂
硫酸银(Ag₂SO₄)|白色固体，微溶于水
硫酸金(III)(Au₂(SO₄)₃)|黄色固体，不稳定
硫酸钛(III)(Ti₂(SO₄)₃)|绿色固体，还原剂
硫酸钛(IV)(Ti(SO₄)₂)|白色固体，水解
硫酸锆(IV)(Zr(SO₄)₂)|白色固体
硫酸铪(IV)(Hf(SO₄)₂)|白色固体
硫酸钒(II)(VSO₄)|紫色固体
硫酸钒(III)(V₂(SO₄)₃)|绿色固体
硫酸钒(IV)(VOSO₄)|蓝色固体，钒电池电解液，催化剂
硫酸铌(Nb₂(SO₄)₅)|白色固体
硫酸钽(Ta₂(SO₄)₅)|白色固体
硫酸铬(II)(CrSO₄)|蓝色固体，强还原剂
硫酸铬(III)(Cr₂(SO₄)₃)|紫色或绿色固体，鞣革和催化剂
硫酸铬钾(KCr(SO₄)₂·12H₂O)|铬钒，紫色晶体，鞣革和媒染剂
硫酸钼(II)(MoSO₄)|棕色固体
硫酸钼(III)(Mo₂(SO₄)₃)|黄色固体
硫酸钼(IV)(Mo(SO₄)₂)|不稳定
硫酸钨(W(SO₄)₂)|不稳定
硫酸锰(II)(MnSO₄)|淡粉色固体，微量元素肥料
硫酸铁(II)(FeSO₄·7H₂O)|绿矾，淡绿色晶体，补铁剂和还原剂
硫酸铁(III)(Fe₂(SO₄)₃)|黄色固体，净水絮凝剂
硫酸铵铁(II)((NH₄)₂Fe(SO₄)₂·6H₂O)|莫尔盐，浅绿色晶体，分析化学基准还原剂
硫酸钴(II)(CoSO₄·7H₂O)|红色晶体，陶瓷釉料和动物补钴剂
硫酸镍(II)(NiSO₄·6H₂O)|绿色晶体，电镀镍
硫酸钌(Ru(SO₄)₂)|不稳定
硫酸铑(Rh₂(SO₄)₃)|红色固体，催化剂
硫酸钯(PdSO₄)|棕色固体，催化剂
硫酸铂(Pt(SO₄)₂)|不稳定
硫酸铷(Rb₂SO₄)|白色固体
硫酸铯(Cs₂SO₄)|白色固体
硫酸镧(La₂(SO₄)₃)|白色固体
硫酸铈(III)(Ce₂(SO₄)₃)|白色固体
硫酸铈(IV)(Ce(SO₄)₂)|橙色固体，分析化学氧化剂
硫酸镨(Pr₂(SO₄)₃)|绿色固体
硫酸钕(Nd₂(SO₄)₃)|淡紫色固体
硫酸钐(Sm₂(SO₄)₃)|黄色固体
硫酸铕(Eu₂(SO₄)₃)|无色固体
硫酸钆(Gd₂(SO₄)₃)|白色固体
硫酸铽(Tb₂(SO₄)₃)|白色固体
硫酸镝(Dy₂(SO₄)₃)|黄色固体
硫酸钬(Ho₂(SO₄)₃)|黄色固体
硫酸铒(Er₂(SO₄)₃)|粉红色固体
硫酸铥(Tm₂(SO₄)₃)|绿色固体
硫酸镱(Yb₂(SO₄)₃)|无色固体
硫酸镥(Lu₂(SO₄)₃)|白色固体
硫酸铼(II)(ReSO₄)|黑色固体
硫酸铼(IV)(Re(SO₄)₂)|黑色固体
硫酸铼(VII)(Re₂O₅(SO₄)₂)|复杂化合物
硫酸锇(OsSO₄)|黑色固体
硫酸铱(Ir₂(SO₄)₃)|绿色固体
硫酸氢钠(NaHSO₄)|酸式盐，酸性清洁剂和金属处理
硫酸氢钾(KHSO₄)|酸式盐，酒石酸氢钾替代品
硫酸铵((NH₄)₂SO₄)|白色固体，重要氮肥
硫酸羟胺((NH₃OH)₂SO₄)|还原剂
硫酸肼(N₂H₆SO₄)|强还原剂，发泡剂
硫酸甲酯((CH₃)₂SO₄)|硫酸二甲酯，剧毒烷基化试剂
硫酸乙酯((C₂H₅)₂SO₄)|硫酸二乙酯，烷基化试剂
硫酸亚铁铵((NH₄)₂Fe(SO₄)₂·6H₂O)|莫尔盐，浅绿色晶体，分析化学基准还原剂
硫酸铝钾(KAl(SO₄)₂·12H₂O)|明矾，无色晶体，净水和鞣革
硫酸铬钾(KCr(SO₄)₂·12H₂O)|铬钒，紫色晶体，鞣革和媒染剂
硫酸铜铵((NH₄)₂Cu(SO₄)₂·6H₂O)|蓝色晶体
亚硫酸锂(LiHSO₃)|不稳定，通常以溶液形式存在
亚硫酸钠(Na₂SO₃)|白色固体，常用还原剂、漂白剂和食品防腐剂
亚硫酸氢钠(NaHSO₃)|白色固体或溶液，更强的还原性，用于漂白和摄影
焦亚硫酸钠(Na₂S₂O₅)|白色固体，常用作亚硫酸氢钠的固体替代品
亚硫酸钾(K₂SO₃)|白色固体，还原剂
亚硫酸氢钾(KHSO₃)|白色固体
亚硫酸钙(CaSO₃)|白色固体，微溶于水，用于食品防腐和烟气脱硫
亚硫酸氢钙(Ca(HSO₃)₂)|溶液存在，造纸工业中用于木浆蒸煮（亚硫酸盐法）
亚硫酸镁(MgSO₃)|白色固体
亚硫酸钡(BaSO₃)|白色固体，有毒
亚硫酸铝(Al₂(SO₃)₃)|不稳定，易水解
亚硫酸锌(ZnSO₃)|白色固体
亚硫酸锡(SnSO₃)|不稳定
亚硫酸铅(PbSO₃)|黄色固体，有毒
亚硫酸铜(CuSO₃)|不稳定，易分解
亚硫酸银(Ag₂SO₃)|黄色固体，不稳定，见光分解
亚硫酸铁(II)(FeSO₃)|不稳定
亚硫酸铁(III)(Fe₂(SO₃)₃)|极易水解
亚硫酸铵((NH₄)₂SO₃)|白色固体，不稳定，还原剂
亚硫酸氢铵(NH₄HSO₃)|白色固体，烟气脱硫剂
硝酸锂(LiNO₃)|白色固体，易潮解，用于烟火和陶瓷
硝酸钠(NaNO₃)|智利硝石，白色固体，氮肥、氧化剂和食品防腐剂
硝酸钾(KNO₃)|硝石，白色固体，黑火药成分、肥料和腌制肉品
硝酸铍(Be(NO₃)₂)|白色固体，剧毒，易潮解和水解
硝酸镁(Mg(NO₃)₂)|白色固体，易潮解，用于烟火和化工
硝酸钙(Ca(NO₃)₂)|白色固体，高效速溶钙肥和制冷剂
硝酸锶(Sr(NO₃)₂)|白色固体，红色烟火和信号弹的主要着色剂
硝酸钡(Ba(NO₃)₂)|白色固体，绿色烟火成分，有毒
硝酸铝(Al(NO₃)₃)|白色固体，易潮解和水解，催化剂和鞣革
硝酸镓(Ga(NO₃)₃)|白色固体，易潮解
硝酸铟(In(NO₃)₃)|白色固体，易潮解
硝酸锡(II)(Sn(NO₃)₂)|不稳定，易水解
硝酸铅(II)(Pb(NO₃)₂)|白色固体，有毒，用于制备其他铅化合物和烟火
硝酸铜(II)(Cu(NO₃)₂)|蓝色晶体，氧化剂、蚀刻剂和电镀液
硝酸锌(Zn(NO₃)₂)|白色固体，易潮解，催化剂和媒染剂
硝酸镉(Cd(NO₃)₂)|白色固体，有毒，用于电镀和制备荧光粉
硝酸汞(I)(Hg₂(NO₃)₂)|无色晶体，不稳定，见光分解，有毒
硝酸汞(II)(Hg(NO₃)₂)|白色固体，剧毒，氧化剂和毛毡制造
硝酸银(AgNO₃)|无色晶体，见光变黑，重要分析试剂、卤化银原料和消毒剂
硝酸金(III)(Au(NO₃)₃)|黄色固体，不稳定，通常以水合物或复合物形式存在
硝酸钛(IV)(Ti(NO₃)₄)|无色液体，极易水解，强氧化剂
硝酸锆(IV)(Zr(NO₃)₄)|白色固体，易潮解和水解
硝酸铪(IV)(Hf(NO₃)₄)|白色固体，易潮解和水解
硝酸钒(V)(VO(NO₃)₃)|黄色液体，强氧化剂
硝酸铌(V)(Nb(NO₃)₅)|白色固体，易水解
硝酸钽(V)(Ta(NO₃)₅)|白色固体，易水解
硝酸铬(III)(Cr(NO₃)₃)|紫色晶体，易潮解
硝酸锰(II)(Mn(NO₃)₂)|无色或粉红色晶体，催化剂和陶瓷颜料
硝酸铁(III)(Fe(NO₃)₃)|浅紫色晶体，易潮解，蚀刻剂和媒染剂
硝酸钴(II)(Co(NO₃)₂)|红色晶体，催化剂和陶瓷颜料
硝酸镍(II)(Ni(NO₃)₂)|绿色晶体，电镀镍和催化剂
硝酸钌(III)(Ru(NO)(NO₃)ₓ)|通常为亚硝酰基配合物，催化剂
硝酸铑(III)(Rh(NO₃)₃)|红色固体，催化剂前驱体
硝酸钯(II)(Pd(NO₃)₂)|棕色固体，催化剂前驱体
硝酸铂(IV)(Pt(NO₃)₄)|不稳定，通常以复合物形式存在
硝酸铷(RbNO₃)|白色固体
硝酸铯(CsNO₃)|白色固体
硝酸镧(La(NO₃)₃)|白色晶体，用于光学玻璃和催化剂
硝酸铈(III)(Ce(NO₃)₃)|白色晶体
硝酸铈(IV)((NH₄)₂Ce(NO₃)₆)|橙红色晶体（铈铵硝酸盐），强氧化剂，分析化学常用
硝酸镨(Pr(NO₃)₃)|绿色晶体
硝酸钕(Nd(NO₃)₃)|淡紫色晶体
硝酸钐(Sm(NO₃)₃)|黄色晶体
硝酸铕(Eu(NO₃)₃)|无色晶体
硝酸钆(Gd(NO₃)₃)|无色晶体
硝酸铽(Tb(NO₃)₃)|无色晶体
硝酸镝(Dy(NO₃)₃)|黄色晶体
硝酸钬(Ho(NO₃)₃)|黄色晶体
硝酸铒(Er(NO₃)₃)|粉红色晶体
硝酸铥(Tm(NO₃)₃)|绿色晶体
硝酸镱(Yb(NO₃)₃)|无色晶体
硝酸镥(Lu(NO₃)₃)|无色晶体
硝酸铼(VII)(Re₂O₇或HReO₄)|高铼酸或其酸酐更常见，硝酸盐形式不稳定
硝酸锇(OsO₄更常见)|四氧化锇是更稳定的氧化物形式
硝酸铱(Ir(NO₃)₃)|不稳定
硝酸氢(HNO₃)|即硝酸本身，强酸和氧化剂
硝酸铵(NH₄NO₃)|白色固体，高效氮肥和工业炸药主要成分
硝酸羟胺(NH₃OH·NO₃)|还原剂和聚合引发剂
硝酸肼(N₂H₅NO₃)|火箭推进剂组分
硝酸铀酰(UO₂(NO₃)₂)|黄色晶体，核燃料循环中的重要化合物
硝酸钍(Th(NO₃)₄)|白色固体，放射性，用于制备钍化合物
碳酸锂(Li₂CO₃)|白色固体，用于躁郁症治疗和特种玻璃陶瓷
碳酸钠(Na₂CO₃)|纯碱/苏打，白色固体，重要基础化工原料
碳酸氢钠(NaHCO₃)|小苏打，白色固体，食品膨松剂和抗酸剂
碳酸钾(K₂CO₃)|草木灰主要成分，白色固体，用于玻璃和钾肥
碳酸氢钾(KHCO₃)|白色固体，食品添加剂和药物
碳酸铍(BeCO₃)|白色固体，剧毒
碳酸镁(MgCO₃)|菱镁矿，白色固体，耐火材料和镁盐原料
碱式碳酸镁(≈Mg₅(CO₃)₄(OH)₂·4H₂O)|白色固体，用于橡胶填料和药物
碳酸钙(CaCO₃)|石灰石/大理石/方解石，白色固体，建筑材料、填料和制石灰
碳酸氢钙(Ca(HCO₃)₂)|仅存在于溶液中，形成暂时硬水
碳酸锶(SrCO₃)|天青石，白色固体，红色烟火和 CRT 玻壳
碳酸钡(BaCO₃)|毒重石，白色固体，有毒，用于陶瓷和电子工业
碳酸铝(Al₂(CO₃)₃)|不稳定，立即水解
碳酸镓(Ga₂(CO₃)₃)|易水解
碳酸铟(In₂(CO₃)₃)|易水解
碳酸锡(II)(SnCO₃)|不稳定
碳酸铅(II)(PbCO₃)|白色固体，有毒，铅白颜料成分
碱式碳酸铜(Cu₂(OH)₂CO₃)|孔雀石，绿色固体，颜料和杀虫剂
碳酸锌(ZnCO₃)|菱锌矿，白色固体，锌的来源和橡胶填料
碳酸镉(CdCO₃)|白色固体，有毒
碳酸汞(II)(HgCO₃)|极不稳定
碳酸银(Ag₂CO₃)|黄色固体，见光分解
碳酸金(III)(Au₂(CO₃)₃)|极不稳定
碳酸钛(IV)(Ti(CO₃)₂)|不存在，强烈水解
碳酸锆(IV)(Zr(CO₃)₂)|强烈水解
碳酸铪(IV)(Hf(CO₃)₂)|强烈水解
碳酸钒(III)(V₂(CO₃)₃)|不稳定
碳酸铬(III)(Cr₂(CO₃)₃)|不稳定，易水解
碳酸锰(II)(MnCO₃)|菱锰矿，粉红色固体，锰的来源
碳酸铁(II)(FeCO₃)|菱铁矿，棕色固体，不稳定，易氧化
碳酸钴(II)(CoCO₃)|粉红色固体，陶瓷颜料和钴盐原料
碳酸镍(II)(NiCO₃)|浅绿色固体，催化剂前驱体
碳酸铷(Rb₂CO₃)|白色固体，易潮解
碳酸铯(Cs₂CO₃)|白色固体，易潮解，有机合成强碱
碳酸镧(La₂(CO₃)₃)|白色固体
碳酸铈(III)(Ce₂(CO₃)₃)|白色固体
碳酸镨(Pr₂(CO₃)₃)|绿色固体
碳酸钕(Nd₂(CO₃)₃)|淡紫色固体
碱式碳酸稀土(RE₂(CO₃)₃·xRE(OH)₃·yH₂O)|常见工业中间体
碳酸氢铵(NH₄HCO₃)|白色固体，食品膨松剂和肥料
碳酸铵((NH₄)₂CO₃)|白色固体，不稳定，易分解为氨和二氧化碳
碳酸氢钙(Ca(HCO₃)₂)|仅存在于溶液，形成暂时硬水
碳酸氢镁(Mg(HCO₃)₂)|仅存在于溶液，形成暂时硬水
磷酸二氢锂(LiH₂PO₄)|白色固体，用于锂离子电池正极材料前驱体
磷酸氢锂(Li₂HPO₄)|白色固体
磷酸锂(Li₃PO₄)|白色固体，难溶于水
磷酸二氢钠(NaH₂PO₄)|白色固体，食品添加剂、缓冲剂
磷酸氢二钠(Na₂HPO₄)|白色固体，常用缓冲盐
磷酸三钠(Na₃PO₄)|白色固体，水软化剂和清洁剂
磷酸二氢钾(KH₂PO₄)|白色固体，肥料和缓冲剂
磷酸氢二钾(K₂HPO₄)|白色固体，缓冲剂
磷酸三钾(K₃PO₄)|白色固体，水处理剂
磷酸二氢铍(Be(H₂PO₄)₂)|剧毒
磷酸镁(Mg₃(PO₄)₂)|白色固体，难溶于水，营养补充剂
磷酸氢钙(CaHPO₄·2H₂O)|白色固体，食品钙强化剂和牙膏摩擦剂
磷酸二氢钙(Ca(H₂PO₄)₂)|白色固体，肥料和食品膨松剂
磷酸钙(Ca₃(PO₄)₂)|磷灰石主要成分，白色固体，肥料和生物陶瓷
羟基磷灰石(Ca₁₀(PO₄)₆(OH)₂)|骨骼和牙齿的主要无机成分
磷酸锶(Sr₃(PO₄)₂)|白色固体
磷酸钡(Ba₃(PO₄)₂)|白色固体
磷酸铝(AlPO₄)|白色固体，催化剂载体和陶瓷材料
磷酸镓(GaPO₄)|类似石英结构，压电材料
磷酸铟(InPO₄)|半导体材料
磷酸锡(II)(Sn₃(PO₄)₂)|不稳定
磷酸铅(II)(Pb₃(PO₄)₂)|白色固体，有毒
磷酸锌(Zn₃(PO₄)₂)|白色固体，防锈颜料
磷酸镉(Cd₃(PO₄)₂)|黄色固体，有毒
磷酸锰(II)(Mn₃(PO₄)₂)|粉红色固体
磷酸铁(II)(Fe₃(PO₄)₂)|白色固体，不稳定易氧化
磷酸铁(III)(FePO₄)·2H₂O|黄色固体，锂离子电池正极材料
磷酸钴(II)(Co₃(PO₄)₂)|紫色固体
磷酸镍(II)(Ni₃(PO₄)₂)|绿色固体
磷酸铜(II)(Cu₃(PO₄)₂)|淡蓝色固体
磷酸银(Ag₃PO₄)|黄色固体，见光分解，光催化材料
磷酸铷(Rb₃PO₄)|白色固体
磷酸铯(Cs₃PO₄)|白色固体
磷酸镧(LaPO₄)|白色固体，发光材料基质
磷酸铈(III)(CePO₄)|黄色固体，催化剂和抛光粉
磷酸钕(NdPO₄)|淡紫色固体
磷酸钐(SmPO₄)|白色固体
磷酸铕(EuPO₄)|白色固体
磷酸钆(GdPO₄)|白色固体
磷酸铽(TbPO₄)|白色固体
磷酸镝(DyPO₄)|黄色固体
磷酸钬(HoPO₄)|黄色固体
磷酸铒(ErPO₄)|粉红色固体
磷酸铥(TmPO₄)|白色固体
磷酸镱(YbPO₄)|白色固体
磷酸镥(LuPO₄)|白色固体
磷酸锆(Zr₃(PO₄)₄)|白色固体，离子交换剂和催化剂
磷酸铪(Hf₃(PO₄)₄)|白色固体
磷酸氢铵((NH₄)₂HPO₄)|白色固体，肥料
磷酸二氢铵(NH₄H₂PO₄)|白色固体，肥料和阻燃剂
磷酸三铵((NH₄)₃PO₄)|白色固体，不稳定
三聚磷酸钠(Na₅P₃O₁₀)|白色固体，洗涤助剂和水软化剂
六偏磷酸钠((NaPO₃)₆)|无色玻璃状固体，水处理剂和分散剂
氰化氢(HCN)|无色剧毒气体或液体，用于电镀和有机合成
氰化钠(NaCN)|白色固体，剧毒，用于黄金提炼和电镀
氰化钾(KCN)|白色固体，剧毒，用途同氰化钠
氰化锂(LiCN)|白色固体，剧毒，有机合成试剂
氰化铷(RbCN)|白色固体，剧毒
氰化铯(CsCN)|白色固体，剧毒
氰化亚铜(CuCN)|白色固体，难溶于水，用于有机合成和电镀
氰化银(AgCN)|白色固体，难溶于水
氰化金(I)(KAu(CN)₂)|无色固体，黄金氰化提纯的关键中间体
氰化锌(Zn(CN)₂)|白色固体，用于电镀
氰化镉(Cd(CN)₂)|白色固体，剧毒
氰化汞(II)(Hg(CN)₂)|无色晶体，剧毒，曾用于医药和摄影
氰化铅(Pb(CN)₂)|白色固体，剧毒
氰化镍(II)(Ni(CN)₂)|绿色固体
四氰合镍(II)酸钾(K₂[Ni(CN)₄])|橙色晶体，配位化合物
六氰合铁(II)酸钾(K₄[Fe(CN)₆]·3H₂O)|黄血盐，黄色晶体，解毒剂和颜料
